name;type;state;city;period_from;period_to;grant;id;applicant;use_case;additional_topics;description;dim_1;dim_2;dim_3;dim_4;dim_5;dim_6;dim_7;dim_8
Digitalisierung 4.0 des saarländischen ÖGD;Ländermaßnahme (LM);Saarland;Saarbrücken;01.10.2022;30.09.2024;4.918.990,69;SL-P512LM10044;Ministerium für Arbeit, Soziales, Frauen und Gesundheit (MASFG);Berichterstattung & Monitoring;;"In elf Teilprojekten soll im Projekt ""Digitalisierung 4.0 des saarländischen ÖGD"" die digitale Reife in allen acht Dimensionen des Reifegradmodells nachhaltig erhöht werden. Hierzu sollen u.a. bestehende Fachanwendungen (R23) etabliert, die digitale Kompetenz über Digitale Scouts und Schulungen gesteigert und bestehende Verfahren über zentrale Datenhaltung und Schnittstellen (bspw. mit staatlichen Medizinaluntersuchungsstelle) digitalisiert werden. Je nach Teilprojekt werden Beratungsdienstleistungen hinzugezogen und IT-Sicherheitskonzepte erstellt, angepasst sowie umgesetzt. Übergeordnet soll der Infektionsschutz im Saarland auch durch die enge Beteiligung des Landeskompetenzzentrum Infektionsepidemiologie stärker harmonisiert, digitalisiert und damit zukunftsfest gemacht werden.";false;true;false;false;true;true;false;false
Projekt zur gesundheitlichen Unterstützung durch multimediale Beratung und Aufklärung;Modellprojekt (MP);Thüringen;Jena;01.10.2022;30.09.2024;433.100,00;TH-P512MP10239;Fachdienst Gesundheit der Stadt Jena;;Survnet, Octoware;;false;true;false;false;false;true;false;false
Steigerung der digitalen Reife der Gesundheitsfachdienste des Kreises Segeberg;Modellprojekt (MP);Schleswig-Holstein;Bad Segeberg;01.10.2022;30.09.2024;1.023.500,00;SH-P512MP10203;Kreisverwaltung Segeberg;;Survnet, RPA, enaio/mikado/mikropro;;true;false;false;false;true;false;false;false
Digitalisierung der Aktenführung im Team Trinkwasserhygiene Landkreis Mansfeld-Südharz;Modellprojekt (MP);Sachsen-Anhalt;Sangerhausen;01.10.2022;30.09.2024;300.000,00;ST-P512MP10179;Landkreis Mansfeld-Südharz Gesundheitsamt;Trink- und Badewasserprüfung;DEMIS, Survnet, Octoware;;true;true;false;false;false;false;false;true
Fit, sicher und digital in die Gesundheit der Zukunft;Modellprojekt (MP);Bayern;Traunstein;01.10.2022;30.09.2024;640.344,95;BY-P512MP10124;Landratsamt Traunstein / Gesundheitsamt;Gesundheitsberatung;Climedo, ISGA, RPA;;true;false;false;true;false;false;false;false
Entwicklung eines Schulungskonzepts für die Digitalisierung der niedersächsischen Gesundheitsämter;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;450.000,00;NI-P512LM10012;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;;;Inhalt des Projekts ist die Entwicklung, Implementierung und Weiterentwicklung eines Schulungskonzepts für gesundheitsamtsspezifische und bedarfsorientierte Schulungen zu relevanten IT-Kompetenzen. Ziel ist es, Empfehlungen für Schulungsinhalte für Digitalisierungsthemen in den niedersächsischen GÄ zu erarbeiten und dadurch im Rahmen der Mitarbeitendenqualifikation in den einzelnen Einrichtungen ein einheitliches Kompetenzniveau anzustreben. Somit soll die digitale Reife in den Dimensionen Mitarbeitende, IT-Sicherheit und Zusammenarbeit gesteigert werden. Die Umsetzung erfolgt dann auf Ebene der Gesundheitsämter.;false;true;false;false;true;false;true;false
Digitalisierung des Meldewesens im FD 53 des Landkreis Diepholz;Modellprojekt (MP);Niedersachsen;Diepholz;01.10.2022;30.09.2024;790.638,48;NI-P512MP10150;FD 53 Gesundheitsamt, Landkreis Diepholz;;DEMIS, RPA, enaio/mikado/mikropro;;false;false;true;true;false;false;false;false
Der Weg zum digitalen, modernen, bürger- und mitarbeiterorientierten Gesundheitsamt;Modellprojekt (MP);Schleswig-Holstein;Itzehoe;01.10.2022;30.09.2024;743.776,02;SH-P512MP10104;Kreis Steinburg – Der Landrat;Belehrung;PICTURE, enaio/mikado/mikropro;;true;false;true;false;true;true;false;false
Etablierung von Cadenza für Badegewässer;Ländermaßnahme (LM);Schleswig-Holstein;Kiel;01.10.2022;30.11.2023;250.000,00;SH-P512LM10008;Ministerium für Soziales, Jugend, Familie, Senioren, Integration und Gleichstellung;Trink- und Badewasserprüfung;;Ziel des Projektes ist es, eine zentrale, benutzerfreundliche Plattform zu etablieren, welche einen schnellen und kompakten Überblick der Badegewässerdaten sowie Geodaten in Schleswig-Holstein verschafft und so die Möglichkeit bietet, dass alle zugriffsberechtigten Parteien einen gemeinsamen Blick auf die Daten bekommen. So sollen die Kommunikationswege bei beispielsweise Auffälligkeiten der Daten oder außergewöhnlichen Ereignissen auf kurzem Wege lösungsorientiertes Handeln ermöglichen.;false;false;false;false;false;false;false;true
Plattform digitales Thüringer Gesundheitsamt (eGesundheitsamt);Ländermaßnahme (LM);Thüringen;Erfurt;01.10.2022;30.09.2024;14.568.400,00;TH-P512LM10046;Freistaat Thüringen Thüringer Ministerium für Arbeit, Soziales, Gesundheit Frauen und Familie (TMASGFF);Berichterstattung & Monitoring;;"Das Land Thüringen möchte über eine Plattform ""eGesundheitsamt"" ein zentrales Angebot für alle Einrichtungen des ÖGDs und für die Bürger:innen und ÖGD-Stakeholder in Thüringen anbieten, bei dem gleichermaßen nutzbare digitale Dienste und relevante Informationen bereitgestellt werden. Das Angebot soll die Optimierung der Prozesse, ein Workflowmanagement, ein Bürgerportal, Data-Warehouse Lösungen, eine Schulungsplattform und die Ankopplung/Integration der verschiedenen Fachanwendungen umfassen. Die Umsetzung des Projektes wird Kommunikation, Arbeitsabläufe, Datenübernahme und Datenbereitstellung grundlegend verbessern und damit ein Stützpfeiler für den ÖGD, insbesondere den Infektionsschutz sowie die kommunale Gesundheitsberichterstattung darstellen.";false;true;false;false;false;true;false;false
Digitalisierung FD Gesundheit LRA SM;Modellprojekt (MP);Thüringen;Meiningen;01.04.2022;30.09.2024;116.889,34;TH-P512MP10051;Landratsamt Schmalkalden-Meiningen Fachdienst Gesundheit;;DEMIS, ISGA, RPA;;true;false;false;false;false;true;false;false
Prozessdigitalisierung des Fall- und Kontaktpersonenmanagements bei SARS-CoV-2-Erkrankungen;Modellprojekt (MP);Thüringen;Eisenberg;01.10.2022;30.09.2024;48.000,00;TH-P512MP10040;Landratsamt Saale-Holzland-Kreis / Gesundheitsamt;;Sormas, DEMIS;;false;true;true;false;false;false;false;false
Information und Interaktion – der Fachdienst Gesundheit geht online! (Website Relaunch);Modellprojekt (MP);Thüringen;Mühlhausen;01.09.2022;31.12.2023;25.354,81;TH-P512MP10020;Landratsamt Unstrut-Hainich-Kreis – Fachdienst Gesundheit;;;;false;true;false;false;true;true;false;false
Digitales Gesundheitsamt 2025;Modellprojekt (MP);Niedersachsen;Jever;01.10.2022;30.09.2024;777.997,00;NI-P512MP10223;Gesundheitsamt Landkreis Friesland;;RPA;;false;false;true;false;false;true;false;false
Digitale Modernisierung und Vernetzung im Gesundheitsamt Ahrweiler;Modellprojekt (MP);Rheinland-Pfalz;Neuenahr-Ahrweiler;01.10.2022;30.09.2024;344.100,00;RP-P512MP10156;Kreisverwaltung Ahrweiler, Abt. 2.6 - Gesundheitsamt;Trink- und Badewasserprüfung;enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitalisierung Gesundheitsamt Rosenheim;Modellprojekt (MP);Bayern;Rosenheim;01.10.2022;30.09.2024;594.661,20;BY-P512MP10137;Landratsamt Rosenheim;;Sormas, RPA;;true;false;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes Mayen-Koblenz;Modellprojekt (MP);Rheinland-Pfalz;Koblenz;01.10.2022;30.09.2024;227.931,85;RP-P512MP10107;Gesundheitsamt Mayen-Koblenz;Belehrung;;;false;true;false;false;false;true;false;false
Digitalisierung des Gesundheitsamtes Ammerland;Modellprojekt (MP);Niedersachsen;Westerstede;01.09.2022;31.08.2024;170.812,79;NI-P512MP10215;Gesundheitsamt Ammerland;Belehrung;DEMIS, ISGA;;false;true;false;true;false;false;false;false
„Mein DIGITALIS“ – Mein digitales Gesundheitsamt und ich im Landkreis Lüneburg;Modellprojekt (MP);Niedersachsen;Lüneburg;01.10.2022;30.09.2024;794.512,12;NI-P512MP10212;Landkreis Lüneburg;Trink- und Badewasserprüfung, Impfungen, Schuleingangsuntersuchung;DEMIS, ISGA, PICTURE;;true;true;false;false;false;false;false;false
Steigerung der digitalen Reife des Fachdienstes Gesundheit (Gesundheitsamt) des Kreises Ostholstein durch Implementierung einer Bürger:in-nenplattform, einer Schulungsplattform für Mitarbeiter:innen und Umsetzung der digitalen Aktenführung im gesamten Fachdienst;Modellprojekt (MP);Schleswig-Holstein;Eutin;01.10.2022;30.09.2024;1.168.748,00;SH-P512MP10173;Fachdienst Gesundheit – Kreis Ostholstein;Belehrung;PICTURE, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Zukunftsorientiertes Gesundheitsamt durch Prozessoptimierung, Mitarbeiterschulungen und die Ermöglichung von mobilem Arbeiten;Modellprojekt (MP);Rheinland-Pfalz;Bad Kreuznach;01.10.2022;30.09.2024;196.984,00;RP-P512MP10209;Gesundheitsamt Bad Kreuznach;Belehrung;Sormas, enaio/mikado/mikropro;;false;true;false;false;false;false;false;true
Steigerung der digitalen Reife des Gesundheitsamtes des Landkreises Leer;Modellprojekt (MP);Niedersachsen;Leer;01.10.2022;30.09.2024;607.966,00;NI-P512MP10038;Landkreis Leer, Gesundheitsamt;;ISGA, PICTURE;;false;false;true;false;false;true;false;false
Digitales Gesundheitsamt im Landkreis Goslar;Modellprojekt (MP);Niedersachsen;Goslar;01.10.2022;30.09.2024;459.000,00;NI-P512MP10008;Servicebereich, Fachdienst Organisation (Landkreis Goslar);;ISGA;;true;false;false;false;false;true;false;false
digital-zukunftsfähiger und attraktiver Gesundheitsdienst im Landkreis Peine;Modellprojekt (MP);Niedersachsen;Peine;01.10.2022;30.09.2024;1.005.706,00;NI-P512MP10006;Landkreis Peine Fachdienst Gesundheitsamt;;Sormas;;false;true;false;true;false;false;false;true
Fit für die Digitalisierung – Digitales Gesundheitsamt;Modellprojekt (MP);Niedersachsen;Aurich;01.10.2022;30.09.2024;658.500,00;NI-P512MP10005;Landkreis Aurich;;ISGA;;true;true;true;false;false;false;false;false
Digitales Gesundheitsamt;Modellprojekt (MP);Niedersachsen;Delmenhorst;01.10.2022;30.09.2024;279.919,00;NI-P512MP10057;Fachdienst Gesundheit Stadt Delmenhorst;Impfungen;ISGA, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitalisierung Schnittstellen LGL – ÖGD;Modellprojekt (MP);Bayern;Erlangen;01.10.2022;30.09.2024;5.225.802,45;BY-P512MP10121;Landesamt für Gesundheit und Lebensmittelsicherheit;Berichterstattung & Monitoring;Survnet;;true;true;false;true;false;false;false;true
Weiterentwicklung der digitalen GesudnheitsCelle;Modellprojekt (MP);Niedersachsen;Celle;01.10.2022;30.09.2024;642.215,79;NI-P512MP10174;Landkreis Celle;Belehrung, Impfungen, Schuleingangsuntersuchung;Sormas, DEMIS, Survnet, enaio/mikado/mikropro;;false;true;false;false;false;false;false;true
Digitalisierung des Gesundheitsamtes Donau-Ries;Modellprojekt (MP);Bayern;Donauwörth;01.10.2022;30.09.2024;600.565,81;BY-P512MP10118;Landkreis Donau-Ries für das Staatliche Gesundheitsamt Donau-Ries als untere Gesundheitsbehörde;;Sormas, Climedo;;true;true;true;false;true;false;false;false
Digitalisierung ermöglicht!;Modellprojekt (MP);Bayern;Fürstenzell;01.10.2022;30.09.2024;1.747.500,00;BY-P512MP10125;GA Passau am Landratsamt Passau;;DEMIS;;true;true;true;false;false;false;false;false
Digitalisierung des Staatlichen Gesundheitsamtes Fürstenfeldbruck;Modellprojekt (MP);Bayern;Fürstenfeldbruck;01.10.2022;30.09.2024;675.545,00;BY-P512MP10126;Gesundheitsamt des Landkreises Fürstenfeldbruck;;Sormas, RPA, enaio/mikado/mikropro;;true;true;false;false;false;false;false;false
Digitalisierung der Arbeitsprozesse mittels Fachsoftware;Modellprojekt (MP);Thüringen;Heilbad Heiligenstadt;01.10.2022;30.09.2024;88.090,27;TH-P512MP10242;Gesundheitsamt Landkreis Eichsfeld;;Sormas, DEMIS, Survnet, enaio/mikado/mikropro;;false;false;true;false;false;false;false;true
Digitalisierung Gesundheitsamt Rendsburg;Modellprojekt (MP);Schleswig-Holstein;Rendsburg;01.10.2022;30.09.2024;1.266.070,14;SH-P512MP10246;Fachdienst Gesundheitsdienste Kreis Rendsburg-Eckernförde (im Weiteren auch: Gesundheitsamt RD);;PICTURE;;true;true;true;false;false;false;false;false
Infrastrukturelle Stärkung des Gesundheitsamts Nordfriesland im Rahmen des PÖGD;Modellprojekt (MP);Schleswig-Holstein;Husum;01.10.2022;30.09.2024;958.597,00;SH-P512MP10087;Kreis Nordfriesland – Der Landrat, Fachdienst Gesundheit;;PICTURE;;false;true;true;false;false;false;false;false
Weiterentwicklung Digitalisierungsgrad des Gesundheitsamts Lübeck;Modellprojekt (MP);Schleswig-Holstein;Lübeck;01.10.2022;30.09.2024;1.033.614,00;SH-P512MP10128;Hansestadt Lübeck – 2.530 Gesundheitsamt;Belehrung;DEMIS, PICTURE, enaio/mikado/mikropro;;true;true;true;false;true;true;false;false
Digitalisierung des Gesundheitsamtes Roth;Modellprojekt (MP);Bayern;Roth;01.10.2022;30.09.2024;200.500,00;BY-P512MP10129;Gesundheitsamt Roth;Schuleingangsuntersuchung;;;false;false;true;false;false;true;false;false
Hof – digitales Gesundheitsamt für Stadt und Landkreis;Modellprojekt (MP);Bayern;Hof;01.10.2022;30.09.2024;444.923,20;BY-P512MP10127;Landratsamt Hof – Fachbereich Gesundheitswesen (Gesundheitsamt für Stadt und Landkreis Hof);;Survnet;;true;true;true;false;false;false;false;false
Gesundheitsamt Neumünster digital;Modellprojekt (MP);Schleswig-Holstein;Neumünster;01.10.2022;30.09.2024;600.499,00;SH-P512MP10134;Fachdienst Gesundheit Neumünster;Belehrung, Trink- und Badewasserprüfung, Schuleingangsuntersuchung;enaio/mikado/mikropro;;true;false;false;false;true;true;false;false
Landkreis Neustadt a.d.Aisch-Bad Windsheim – digitales Gesundheitsamt 2025;Modellprojekt (MP);Bayern;Neustadt a.d. Aisch;01.10.2022;30.09.2024;349.392,92;BY-P512MP10117;Landratsamt Neustadt a.d.Aisch-Bad Windsheim;Gesundheitsberatung;;;true;false;true;false;false;false;false;false
DIGA!- Digitales Gesundheitsamt Mühldorf a. Inn;Modellprojekt (MP);Bayern;Mühldorf am Inn;01.10.2022;30.09.2024;962.500,00;BY-P512MP10119;Landkreis Mühldorf a. Inn, Gesundheitsamt;;DEMIS, ISGA;;true;true;false;false;false;false;false;false
SMARTES Gesundheitsamt Emden;Modellprojekt (MP);Niedersachsen;Emden;01.10.2022;30.09.2024;429.200,00;NI-P512MP10136;Gesundheitsamt Emden;Impfungen, Gesundheitsberatung;ISGA, PICTURE, enaio/mikado/mikropro;;false;false;true;true;false;false;false;false
Digitalisierung Infektionsschutz Gesundheitsamt in Nürnberg;Modellprojekt (MP);Bayern;Nürnberg;01.10.2022;30.09.2024;3.397.500,00;BY-P512MP10141;Gesundheitsamt Nürnberg;Gesundheitsberatung;Climedo, DEMIS, Survnet, Äskulab, RPA;;true;false;true;false;false;false;false;false
Steigerung und Weiterentwicklung des digitalen Reifegrades des Gesundheitsamtes des Landkreies Elbe-Elster;Modellprojekt (MP);Brandenburg;Herzberg/Elster;01.01.2022;30.09.2024;525.198,00;BB-P512MP10102;Landkreis Elbe-Elster;;;;false;true;false;false;false;false;false;true
Aufbau Serverlandschaft und Ausweitung Prozessdigitalisierung im Gesundheitsamt des Landkreises Harz;Modellprojekt (MP);Sachsen-Anhalt;Halberstadt;01.10.2022;30.09.2024;836.000,00;ST-P512MP10175;Gesundheitsamt Landkreis Harz;Berichterstattung & Monitoring;RPA;;false;false;true;true;false;false;false;false
Digitalisierung von Verwaltungsprozessen in pandemischen/epidemischen Lagen in Sachsen-Anhalt;Ländermaßnahme (LM);Sachsen-Anhalt;Magdeburg;01.10.2022;30.09.2024;7.569.500,00;ST-P512LM10015;Ministerium für Arbeit, Soziales, Gesundheit und Gleichstellung Land Sachsen-Anhalt;;;Ziel der Ländermaßnahme ist die Optimierung von internen (v.a. Verwaltungsprozessen) und externen (z.B. Kommunikation mit den Bürger*innen) Prozessen. Im Fokus stehen dabei die Anwender, sowohl auf Seiten der Mitarbeitenden als auch in Form der Bürgerinnen und Bürger („menschzentrierter Fokus“). Weiterer Schwerpunkt ist in diesem Zusammenhang die DSGVO-konforme und sichere Verarbeitung von sensiblen Daten der Schutz vor Cyberangriffen und die Verbesserung der Interoperabilität verschiedener Anwendungen. Aus diesem Grund findet eine enge Abstimmung mit den Bundesländern Bayern und Hessen im Rahmen einer separaten ELFA-Maßnahme („Steigerung der Interoperabilität und Modularisierung“) statt.;false;false;false;true;true;false;true;false
Clouddienst für den Austausch personenbezogener Daten;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;850.000,00;NI-P512LM10024;Niedersächsisches Landesgesundheitsamt (NLGA);;;Das vorliegende Projekt soll einen Clouddienst – d.h. virtuelle Server und Speicher – für Einrichtungen des Öffentlichen Gesundheitsdienstes (ÖGD) in Niedersachsen einführen. Ziel ist die vereinfachte und sicherere Vernetzung und Kollaboration der Einrichtungen des ÖGD untereinander und mit anderen Einrichtungen in einem landesweit einheitlichen und nutzerfreundlichen Clouddienst. Die Cloud soll es den Einrichtungen ermöglichen, sicher und datenschutzkonform auf sensible Daten – insbesondere i.S.d. IfSG – zurückzugreifen und diese auszutauschen.;false;false;false;true;true;false;true;false
Dashboard zur Darstellung epidemiologischer Indikatoren auf Landes- und kommunaler Ebene;Ländermaßnahme (LM);Niedersachsen;Hannover;01.10.2022;30.09.2024;950.000,00;NI-P512LM10023;Niedersächsisches Landesgesundheitsamt (NLGA);Impfungen;Survnet;Für Niedersachen werden SARS-CoV-2-Daten auf dem „Corona-Dashboard Niedersachsen“ dargestellt. Dieses liefert aktuell keine Informationen über andere Infektionserreger / sonstige Gesundheitsindikatoren. Es soll ein erweitertes Dashboard erstellt werden, welches zusätzliche Infektionserreger visualisiert. Neben den Inzidenzdaten sollen Daten zu weiteren Begleitindikatoren zu dem jeweiligen Erreger dargestellt werden. Zu den spezifischen Erregerdaten werden auch Darstellungen aus der Surveillance akuter respiratorischer Erkrankungen sowie der Mortalitätssurveillance erfolgen. ;false;false;false;false;false;true;true;false
